[2021-06-30 09:54:41,933] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:54:42,108] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 261
[2021-06-30 09:54:42,246] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:54:42,412] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 09:54:42,719] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:54:42,720] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:56:02,465] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:56:02,508] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:56:02,681] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 260
[2021-06-30 09:56:02,858] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:56:02,947] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 09:56:03,130] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:56:03,143] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:56:16,829] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:56:16,883] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:56:17,042] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 260
[2021-06-30 09:56:17,187] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
[2021-06-30 09:56:17,404] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2021-06-30 09:56:17,410] [basehttp.py:124] [basehttp:log_message] [WARNING]- "GET /favicon.ico HTTP/1.1" 404 2504
[2021-06-30 09:56:17,629] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 542194
[2021-06-30 09:56:32,480] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /student/exam/17/ HTTP/1.1" 200 20373
[2021-06-30 09:56:32,535] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121200
[2021-06-30 09:56:32,701] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/css/answerCard.css HTTP/1.1" 200 264
[2021-06-30 09:56:32,844] [basehttp.py:124] [basehttp:log_message] [INFO]- "GET /static/js/jquery.js HTTP/1.1" 200 240197
